------------------------------------------
Script start.sh iniciado en: mar 05 ago 2025 21:06:43 CEST
------------------------------------------
Paso 1: Pausa inicial de 15 segundos...
Pausa completada.
Paso 2: Navegando al directorio del script...
Directorio actual: /home/pizero/estacion_meteo
Paso 3: Exportando la variable de entorno DISPLAY...
DISPLAY establecido a: :0
Paso 4: Intentando lanzar main.py con el Python del sistema...
Ruta de Python 3: /usr/bin/python3
2025-08-11 18:41:59 - root - INFO - --- Iniciando Estación Meteorológica vFinal ---
2025-08-11 18:41:59 - hardware_manager - INFO - Cargando iconos...
2025-08-11 18:42:00 - hardware_manager - INFO - Fuentes DejaVu cargadas correctamente.
2025-08-11 18:42:00 - root - INFO - NeoPixels en pin 21 inicializados.
2025-08-11 18:42:00 - root - INFO - Sensor BME280 inicializado.
2025-08-11 18:42:00 - hardware_manager - INFO - Botón configurado en pin GPIO 6.
2025-08-11 18:42:00 - hardware_manager - INFO - Hardware Manager completamente inicializado.
2025-08-11 18:42:00 - root - INFO - Conectando al broker MQTT local en 127.0.0.1...
2025-08-11 18:42:00 - root - INFO - Conectando al gateway de ThingsBoard en thingsboard.cloud...
2025-08-11 18:42:00 - root - INFO - Conexión exitosa al Broker MQTT local.
2025-08-11 18:42:00 - root - INFO - Nuevo dato de temperatura añadido al historial. Tamaño actual: 1
2025-08-11 18:42:00 - root - INFO - Iniciando lectura de sensores y sistema local...
2025-08-11 18:42:00 - root - INFO - Conexión exitosa a ThingsBoard.
2025-08-11 18:43:00 - root - INFO - Iniciando lectura de sensores y sistema local...
2025-08-11 18:43:00 - root - INFO - Datos de 'Estacion Interior' reenviados a ThingsBoard.
2025-08-11 18:44:00 - root - INFO - Iniciando lectura de sensores y sistema local...
2025-08-11 18:44:00 - root - INFO - Datos de 'Estacion Interior' reenviados a ThingsBoard.
2025-08-11 18:45:00 - root - INFO - Iniciando lectura de sensores y sistema local...
2025-08-11 18:45:00 - root - INFO - Datos de 'Estacion Interior' reenviados a ThingsBoard.
2025-08-11 18:46:00 - root - INFO - Iniciando lectura de sensores y sistema local...
2025-08-11 18:46:01 - root - INFO - Datos de 'Estacion Interior' reenviados a ThingsBoard.
2025-08-11 18:47:00 - root - INFO - Timeout de 300s. Apagando pantalla.
2025-08-11 18:47:01 - root - INFO - Iniciando lectura de sensores y sistema local...
2025-08-11 18:47:01 - root - INFO - Datos de 'Estacion Interior' reenviados a ThingsBoard.
2025-08-11 18:48:01 - root - INFO - Iniciando lectura de sensores y sistema local...
2025-08-11 18:48:01 - root - INFO - Datos de 'Estacion Interior' reenviados a ThingsBoard.
2025-08-11 18:49:01 - root - INFO - Iniciando lectura de sensores y sistema local...
2025-08-11 18:49:01 - root - INFO - Datos de 'Estacion Interior' reenviados a ThingsBoard.
2025-08-11 18:50:01 - root - INFO - Iniciando lectura de sensores y sistema local...
2025-08-11 18:50:01 - root - INFO - Datos de 'Estacion Interior' reenviados a ThingsBoard.
2025-08-11 18:51:01 - root - INFO - Iniciando lectura de sensores y sistema local...
2025-08-11 18:51:01 - root - INFO - Datos de 'Estacion Interior' reenviados a ThingsBoard.
2025-08-11 18:52:01 - root - INFO - Iniciando lectura de sensores y sistema local...
2025-08-11 18:52:01 - root - INFO - Datos de 'Estacion Interior' reenviados a ThingsBoard.
2025-08-11 18:53:01 - root - INFO - Iniciando lectura de sensores y sistema local...
2025-08-11 18:53:01 - root - INFO - Datos de 'Estacion Interior' reenviados a ThingsBoard.
2025-08-11 18:54:01 - root - INFO - Iniciando lectura de sensores y sistema local...
2025-08-11 18:54:01 - root - INFO - Datos de 'Estacion Interior' reenviados a ThingsBoard.
2025-08-11 18:55:01 - root - INFO - Iniciando lectura de sensores y sistema local...
2025-08-11 18:55:01 - root - INFO - Datos de 'Estacion Interior' reenviados a ThingsBoard.
2025-08-11 18:56:01 - root - INFO - Iniciando lectura de sensores y sistema local...
2025-08-11 18:56:01 - root - INFO - Datos de 'Estacion Interior' reenviados a ThingsBoard.
2025-08-11 18:57:01 - root - INFO - Iniciando lectura de sensores y sistema local...
2025-08-11 18:57:01 - root - INFO - Datos de 'Estacion Interior' reenviados a ThingsBoard.
2025-08-11 18:58:01 - root - INFO - Iniciando lectura de sensores y sistema local...
2025-08-11 18:58:01 - root - INFO - Datos de 'Estacion Interior' reenviados a ThingsBoard.
2025-08-11 18:59:01 - root - INFO - Iniciando lectura de sensores y sistema local...
